Razão Social;CNPJ;Endereço;BAIRRO;CEP;UF;MUNICÍPIO
DISTRIBUIDORA DE PETROLEO NOTA DEZ LTDA;09434042000105;AVENIDA PADRE ANTONIO TOMAS,  3600;PAPICU;60140160;CE;FORTALEZA
AB COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA;09455725000149;RUA VALPARAISO,  700;CONJUNTO PALMEIRAS;60870440;CE;FORTALEZA
POSTO BRAGA CAMBEBA EIRELI;10343353000148;AVENIDA MINISTRO JOSE AMERICO,  1281;PARQUE IRACEMA;60824245;CE;FORTALEZA
DALLAS DERIVADOS DE PETROLEO LTDA;10478691000510;AVENIDA PROFESSOR GOMES DE MATOS,  1065;MONTESE;60410001;CE;FORTALEZA
SL COMERCIAL DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA;10704108000119;AVENIDA VISCONDE DO RIO BRANCO,  5922;AEROLANDIA;60055172;CE;FORTALEZA
PADRE PIO COMERCIO DE COMBUSTIVEIS LTDA;12317351000100;RUA DOUTOR  ALISIO MAMEDE,  463;VARJOTA;60175310;CE;FORTALEZA
ANJOS COMERCIO DE DERIVADOS DE PETROLEO LTDA;14496482000127;AVENIDA ALBERTO CRAVEIRO,  1347;BOA VISTA;60861211;CE;FORTALEZA
VIP COMERCIO DE PETROLEO LTDA;16577643000132;RUA SENADOR ALENCAR,  1181;CENTRO;60030051;CE;FORTALEZA
IPANEMA COMERCIO E SERVICOS DE DERIVADOS DE PETROLEO LTDA;17858105000189;RUA RIO GRANDE DO SUL,  1240;DEMOCRITO ROCHA;60440131;CE;FORTALEZA
PROJECAO COMERCIO DE DERIVADOS DE PETROLEO LTDA.;22278355000180;RUA PADRE VALDEVINO,  999;ALDEOTA;60135041;CE;FORTALEZA
J C COMERCIO DE COMBUSTIVEL LTDA;23570062000134;AVENIDA ANTONIO JUSTA,  2400;MEIRELES;60160090;CE;FORTALEZA
F.NOBRE COMERCIO DE PETROLEO LTDA;30370632000108;RUA NOGUEIRA ACIOLI,  767;CENTRO;60110140;CE;FORTALEZA
G.M. COMERCIO DE COMBUSTIVEIS LTDA;39895264000196;AVENIDA WASHINGTON SOARES,  6445;JOSE DE ALENCAR;60830005;CE;FORTALEZA
PRIME COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA;40522425000185;AVENIDA DEPUTADO PAULINO ROCHA,  2000;CAJAZEIRAS;60864310;CE;FORTALEZA
COMERCIAL JOAO FERREIRA PETROLEO LTDA;41414822000368;RUA SENADOR ALVARO ADOLFO,  1789;ANTÔNIO BEZERRA;60355570;CE;FORTALEZA
CENTRO EMPRESARIAL DRA ZUILA ALENCAR BARREIRA BRAGA LTD;41557018000176;AVENIDA JOSE BASTOS,  3950;DAMAS;60020292;CE;FORTALEZA
DISTRIBUIDORA CANAA DE COMBUSTIVEIS LTDA;41560566000155;AVENIDA ANTONIO SALES,  2880;DIONISIO TORRES;60135102;CE;FORTALEZA
LEAL VIII COMERCIO DE PETROLEO LTDA;44857025000181;AVENIDA BEZERRA DE MENEZES,  2323;SAO GERARDO;60325004;CE;FORTALEZA
COMERCIAL RECAMONDE DERIVADOS DE PETROLEO LTDA;63456560000256;AVENIDA DR THERBERGE,  1620;COLONIA;60335480;CE;FORTALEZA
POSTO SAO DOMINGOS LTDA;69366128000250;AVENIDA MISTER HULL,  4000;ANTONIO BEZERRA;60356000;CE;FORTALEZA
POSTO SHOPING MANGUE LTDA;86870680000110;AVENIDA RAUL BARBOSA,  900;PIO XII;60130530;CE;FORTALEZA
CIPLAN CIMENTO PLANALTO SA;00057240004624;RODOVIA DF-205,  S/N;SETOR HABITACIONAL FERCAL (SOBRADINHO);73151010;DF;BRASILIA
CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;00306597001411;SETOR SHIS EPDB QI 13/QL 14 LOTE 1 PAG,  S/N;LAGO SUL;71635013;DF;BRASILIA
CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;00306597002655;SETOR SPMS EPIA LOTE 07,  S/N;N BANDEIRANTE;71727800;DF;BRASILIA
CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;00306597003899;AREA ESPECIAL 11 PARA INDUSTRIA POSTO DE GASOLINA,  02;SOBRADINHO;73045620;DF;BRASILIA
CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;00306597004437;QUADRA QUADRA 108 LOTE 01 AVENIDA RECANTO DAS EMAS,  S/N;RECANTO DAS EMAS;71805970;DF;BRASILIA
CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;00306597004780;AVENIDA A/C AVENIDA DAS CASTANHEIRAS LOTE,  1950;AGUAS CLARAS;71900100;DF;BRASILIA
CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;00306597006480;AVENIDA PRIMEIRA  AV. NORTE LOTE,  10/12;SAMAMBAIA;72320000;DF;BRASILIA
CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;00306597006642;SETOR SETOR SUL COMERCIO LOCAL 102 LOTE B,  S/N;SANTA MARIA;72501100;DF;BRASILIA
CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;00306597007703;QUADRA 09 CONJUNTO L LOTE,  S/N;ARAPOANGA (PLANALTINA);73369020;DF;BRASILIA
CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;00306597007967;AREA AREA ESPECIAL 03/05 SETOR OESTE,  S/N;GAMA;72420280;DF;BRASILIA
CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;00306597008343;AVENIDA A/C AVENIDA DAS ARAUCARIAS LOTE,  525;AGUAS CLARAS;71936250;DF;BRASILIA
CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;00306597008777;QUADRA QN 122 CONJUNTO 07 LOTE,  06;SAMAMBAIA;72310108;DF;BRASILIA
AUTO POSTO ESPLANADA LTDA;00365320000145; QS 05 RUA 800,  S/N;TAGUATINGA;71920540;DF;BRASILIA
KARSERV COMBUSTIVEIS LUBRIFICANTES E SERVICOS LTDA;00689380000113; SOF PLL LOTE,  01;PLANALTINA;73340600;DF;BRASILIA
AUTO POSTO CINCO ESTRELAS LTDA;00692418001774;QUADRA QUADRA QNN 4 LOTE PLL 01,  S/N;SETOR INDUSTRIAL (CEILANDIA);72265040;DF;BRASILIA
CEU 070 COMBUSTIVEIS LTDA;00976256000139; LOTE 499 GLEBA 04 PROJ INTEG,  S/N;CEILANDIA;72701970;DF;BRASILIA
AUTO POSTO RAMALHO LTDA;01276763000122;RODOVIA DF 180 KM 06,  S/N;BRAZLANDIA;72720000;DF;BRASILIA
POSTO SIA 3 LTDA;02040344000150; SIAS TR 03,  S/N;ST IND ABAST SUL;71200030;DF;BRASILIA
AUTO POSTO ESQUINA LIMITADA;02551867000160;QUADRA SAA NORTE QUADRA 04,  566;ASA NORTE;70632400;DF;BRASILIA
AUTO POSTO G SUL LTDA;02570563000140; CSG 13 LOTE 01,  SN;TAGUATINGA;72035513;DF;BRASILIA
AUTO POSTO BRAGA LTDA;05208306000151;QN-QUADRA NORTE 502,  S/N;SAMAMBAIA;72310301;DF;BRASILIA
AUTO POSTO BRAGA LTDA;05208306000232;QUADRA QNA 25,  0;TAGUATINGA;72110250;DF;BRASILIA
PETRONORTE COMBUSTIVEIS LTDA;06071706000392;RODOVIA DF-290 KM 1,2 CHACARA,  12;NUCLEO RURAL HORTIGRANJEIRO DE SANTA MARIA;72578000;DF;BRASILIA
PETRONORTE COMBUSTIVEIS LTDA;06071706000473;QUADRA QI 616 CONJUNTO I LOTE,  03;SAMAMBAIA;72310108;DF;BRASILIA
AUTO POSTO DF 180 LTDA;07347238000137;QUADRA QN 433 CONJUNTO G LOTE,  01;SAMABAIA;72322570;DF;BRASILIA
POSTO CIDADE DO AUTOMOVEL LTDA;07441011000237;AREA ADE  CONJUNTO,  21;AGUAS CLARAS;71989600;DF;BRASILIA
AUTO POSTO BR 060 LTDA;07736181000168;QUADRA QS 5L7 CONJUNTO E LOTE,  01;SAMAMBAIA;72315555;DF;BRASILIA
HELIO PRATES COMERCIO DE COMBUSTIVEIS E DERIVADOS LTDA;08111678000153;QUADRA QNJ AREA ESPECIAL,  01;TAGUATINGA;72140601;DF;BRASILIA
MAXIMO COMERCIO DE DERIVADOS DE PETROLEO LTDA;10471346000121;SETOR SPMN EPIA DF 003 CONJUNTO B BLOCO A,  S/N;LAGO NORTE;71560100;DF;BRASILIA
COMERCIAL DE COMBUSTIVEIS MAM LTDA;10702904000112;SETOR SPM EPIA/SUL LOTE,  02;CANDANGOLANDIA;71727800;DF;BRASILIA
AUTO POSTO NN 10 LTDA;11936605000105;QUADRA QNN 10 LOTE PLL,  01;CEILANDIA;72220100;DF;BRASILIA
AUTO POSTO NM 16 LTDA;11948180000154;QUADRA QNM 16 LOTE G PARTE,  01;CEILANDIA;72210160;DF;BRASILIA
AUTO POSTO NM 16 LTDA;11948180000235;QUADRA QND 46,  0;TAGUATINGA NORTE;72120460;DF;BRASILIA
POSTO DE COMBUSTIVEIS CONNECTA CEILANDIA SUL LTDA;12123780000146;QUADRA QNN 34 AREA ESPECIAL F PLL,  S/N;CEILANDIA SUL (CEILANDIA);72220346;DF;BRASILIA
QUALITY COMERCIO DE COMBUSTIVEIS LTDA;14897109000188;SIG CONJUNTO C,  1;TAGUATINGA NORTE;72020016;DF;BRASILIA
QUALITY COMERCIO DE COMBUSTIVEIS LTDA;14897109000269;QUADRA QNL 11 CONJUNTO F LOTE,  18;TAGUATINGA;72151106;DF;BRASILIA
AUTO POSTO VIA ESTRUTURAL LTDA;23597031000177;SETOR SCIA QUADRA 10 CONJUNTO 2,  06;ZONA INDUSTRIAL (GUARA);71250620;DF;BRASILIA
AUTO POSTO VIA ESTRUTURAL LTDA;23597031000258;QUADRA EPDB QI 19/QL 18 LOTE,  01;SETOR DE HABITACOES INDIVIDUAIS SUL;71655500;DF;BRASILIA
AUTO POSTO VIA ESTRUTURAL LTDA;23597031000339;MODULO 3 SETOR HABITACIONAL MESTRE DARMAS QUADRA 19 LOTE,  06;CONDOMINIO MESTRE DARMAS (PLANALTINA);73403309;DF;BRASILIA
AUTO POSTO ANDRADE LTDA;24046493000169;QUADRA QNN 31,  SN;CEILANDIA NORTE (CEILANDIA);72225310;DF;BRASILIA
AUTO POSTO ANDRADE LTDA;24046493000240;SETOR CENTRO METROPOLITANO QUADRA 1 LOTE,  05;TAGUATINGA NORTE (TAGUATINGA);72158100;DF;BRASILIA
AUTO POSTO ANDRADE LTDA;24046493000320;SETOR SHCNW CRENW,  01;SETOR NOROESTE;70687400;DF;BRASILIA
AUTO POSTO FENIX ODJ LTDA;25004046000100;CHACARA EPTG CHACARA 54,  S/N;SETOR HABITACIONAL VICENTE PIRES;72005305;DF;BRASILIA
AUTO POSTO FENIX ODJ LTDA;25004046000290;QUADRA SHRF QN 7 AE 1,  S/N;RIACHO FUNDO I;71805700;DF;BRASILIA
CRUZEIRO COMBUSTIVEIS E SERVICOS S/A;26991067000129;TRECHO SIA TRECHO 12,  S/N;ZONA INDUSTRIAL (GUARA);71200110;DF;BRASILIA
AUTO POSTO MARK SOBRADINHO II LTDA;29116420000110;QUADRA AR 03,  S/N;SETOR OESTE (SOBRADINHO II);73060130;DF;BRASILIA
AUTO POSTO GAMA CENTRO LTDA;31403063000112;QUADRA 55 LOTE 08,  S/N;SETOR CENTRAL (GAMA);72405550;DF;BRASILIA
POSTO DE COMBUSTIVEIS EPIA CANDANGOLANDIA LTDA;31403111000172;SETOR DE POSTOS E MOTEIS SUL I (LADO PAR),  S/N;CANDANGOLANDIA;71727800;DF;BRASILIA
AUTO POSTO COMERCIO DE COMBUSTIVEIS MN LTDA;32044415000153;RODOVIA DF-128,  S/N;SETOR RESIDENCIAL MESTRE DARMAS (PLANALTINA);73380150;DF;BRASILIA
POSTO DE COMBUSTIVEL QI 09 LAGO SUL LTDA;32965877000103;SETOR EPDB QI 9 / QL 10 LOTE 2 PAC 1,  S/N;SETOR DE HABITACOES INDIVIDUAIS SUL;71630095;DF;BRASILIA
POSTO DE COMBUSTIVEL PH 040 LTDA;33977914000166;RODOVIA BR-040 KM 05 GLEBA 02,  SN;SANTA MARIA;72549650;DF;BRASILIA
QNL POSTO DE COMBUSTIVEL LTDA;35161655000126;QUADRA EQNL 2/4 BLOCO B,  01;TAGUATINGA NORTE (TAGUATINGA);72155502;DF;BRASILIA
AUTO POSTO DE COMBUSTIVEL FLAMINGO LTDA;36180754000118;RODOVIA SPMN EPIA DF-003 LOTE,  04 PLL;SETOR DE POSTOS E MOTEIS NORTE (LAGO NORTE);71560100;DF;BRASILIA
POSTO DE COMBUSTIVEIS ADE LTDA;36297444000188;AREA ADE CONJUNTO 11 LOTE,  16;AREA DE DESENVOLVIMENTO ECONOMICO (AGUAS CLARAS);71987360;DF;BRASILIA
POSTO DE COMBUSTIVEL CAMPEAO 070 LTDA;36642184000130;AREA GLEBA 03 NUCLEO RURAL ALEXANDRE GUSMAO LOTE 455,  S/N;CEILANDIA;72701997;DF;BRASILIA
AUTO SHOPPING DERIVADOS DE PETROLEO LTDA;37063328000752;QUADRA 318 COMERCIAL LOCAL LOTE A,  S/N;SANTA MARIA;72501100;DF;BRASILIA
AUTO SHOPPING DERIVADOS DE PETROLEO LTDA;37063328000833;QUADRA QI 07 LOTES 620/640,  S/N;SETOR INDUSTRIAL (GAMA);72445070;DF;BRASILIA
AUTO SHOPPING DERIVADOS DE PETROLEO LTDA;37063328000914; QI 19 LOTES 02 E 04,  S/N;TAGUATINGA;72120190;DF;BRASILIA
AUTO SHOPPING DERIVADOS DE PETROLEO LTDA;37063328001058;CONJUNTO SMDB CONJUNTO 12 LOTE 02 PLL,  S/N;SETOR DE MANSOES DOM BOSCO (LAGO SUL);71680120;DF;BRASILIA
AUTO SHOPPING DERIVADOS DE PETROLEO LTDA;37063328001309;SETOR SCE/SUL TRECHO 02 CONJUNTO 03,  S/N;BRASILIA;70200002;DF;BRASILIA
AUTO SHOPPING DERIVADOS DE PETROLEO LTDA;37063328001805;SETOR SCE/SUL TRECHO 02 CONJUNTO 27 PARTE,  S/N;BRASILIA;70200002;DF;BRASILIA
AUTO SHOPPING DERIVADOS DE PETROLEO LTDA;37063328002372;SETOR SHC/NORTE SQ 111 BLOCO A PAG,  S/N;ASA NORTE;70754000;DF;BRASILIA
AUTO SHOPPING DERIVADOS DE PETROLEO LTDA;37063328002968;RODOVIA DF/290 KM 01 LOTE  10 A PLL,  S/N;SANTA MARIA;72578000;DF;BRASILIA
AUTO SHOPPING DERIVADOS DE PETROLEO LTDA;37063328003000;SETOR SANTA MARIA, SETOR RODOVIA DF-140, KM 6,5 CONJUNTO 2, LOTE,  07;SANTA MARIA;71686650;DF;BRASILIA
POSTO TOP TAGUATINGA COMERCIO DE COMBUSTIVEIS LTDA;37189518000125;QUADRA QI 23 LOTES 40/41,  42;SETOR INDUSTRIAL (TAGUATINGA);72135230;DF;BRASILIA
PETRO RIOS COMERCIO DERIVADOS DE PETROLEO LTDA;38074571000143;SETOR SEE LOTE,  1;RESIDENCIAL SANTOS DUMONT (SANTA MARIA);72593270;DF;BRASILIA
AUTO POSTO AGUAS CLARAS LTDA;38076089000142;ALAMEDA DOS EUCALIPTOS QDA. 107 LOTE,  15;TAGUATINGA.;70310500;DF;BRASILIA
AUTO POSTO AGUAS CLARAS LTDA;38076089000223;AREA ADE 600 CONJUNTO 1 LOTE,  19;RECANTO DAS EMAS;72640001;DF;BRASILIA
POSTO DE COMBUSTIVEIS CAMPEAO FIESTA LTDA;38212697000137;SETOR SAGOCA LOTE,  06;TAGUATINGA NORTE (TAGUATINGA);72145760;DF;BRASILIA
MORRO AZUL COMERCIO DE PETROLEO LTDA;72620412000135;QUADRA QUADRA 1 CONJUNTO 3,  SN;MORRO AZUL (SAO SEBASTIAO);71691243;DF;BRASILIA
POSTO BRUNA LTDA.;00247861000179;RODOVIA ANEL RODOVIARIO CELSO MELLO AZEVEDO,  11333;DOM BOSCO;30850453;MG;BELO HORIZONTE
POSTO SARAMENHA LTDA;00416899000128;AVENIDA SERRANA,  750;SERRANO;30882370;MG;BELO HORIZONTE
POSTO ENTRADA OBRIGATORIA LTDA;00747850000158;AVENIDA PORTUGAL,  4260;JARDIM ATLANTICO;31710400;MG;BELO HORIZONTE
AUTO POSTO VERONA EIRELI;00911111000150;RODOVIA ANEL RODOVIARIO CELSO MELLO AZEVEDO,  23759;DOM SILVERIO;31985203;MG;BELO HORIZONTE
AUTO POSTO BARREIRO LTDA;01052390000106;AVENIDA AFONSO VAZ DE MELO,  435;BARREIRO;30640070;MG;BELO HORIZONTE
DUTRA E SILVA LTDA;02104426000110;AVENIDA DOS ENGENHEIROS,  465;ALIPIO DE MELO;30840300;MG;BELO HORIZONTE
ORGANIZACOES NOVO BELVEDERE LTDA;02898537000146;AVENIDA PAULO CAMILO PENA,  780;BELVEDERE;30320380;MG;BELO HORIZONTE
NOVASOC COMERCIAL LTDA;03139761004457;AVENIDA CRISTIANO MACHADO,  3800;UNIAO;31160342;MG;BELO HORIZONTE
POSTO LONDRINA LTDA;03643398000172;RUA JAVARI,  195;SAO CRISTOVAO;31130540;MG;BELO HORIZONTE
POSTO MARIO WERNECK LIMITADA;03665115000193;AVENIDA CRISTIANO MACHADO,  9292;MINASLANDIA;31812112;MG;BELO HORIZONTE
ARAUJO COMERCIO DERIVADOS DE PETROLEO LTDA;04775850000112;AVENIDA CRISTIANO MACHADO,  70;FLORESTA;31015432;MG;BELO HORIZONTE
POSTO PALHA VERDE LTDA;05009866000187;RODOVIA ANEL RODOVIARIO CELSO MELLO AZEVEDO,  28500;JARDIM VITORIA;31975275;MG;BELO HORIZONTE
POSTO VILA NOSSA SENHORA DE FATIMA LTDA;05462748000120;AVENIDA NOSSA SENHORA DE FATIMA,  2.401;CARLOS PRATES;30710020;MG;BELO HORIZONTE
POSTO TUNEL LTDA;08160834000176;AVENIDA CRISTIANO MACHADO,  71;FLORESTA;31110230;MG;BELO HORIZONTE
POSTO MONTE SANTO LTDA;08223834000178;AVENIDA DOM PEDRO II,  3038;CAICARA;30720460;MG;BELO HORIZONTE
POSTO SAO BERNARDO LTDA;10673246000188;AVENIDA CRISTIANO MACHADO,  9505;DONA CLARA;31260333;MG;BELO HORIZONTE
POSTO OLIMAR COMERCIO DE COMBUSTIVEIS LTDA;14135978000175;AVENIDA TEREZA CRISTINA,  2350;PADRE EUSTAQUIO;30720230;MG;BELO HORIZONTE
POSTO MEM DE SA LTDA;14395703000170;AVENIDA MEM DE SA,  140;SANTA EFIGENIA;30260270;MG;BELO HORIZONTE
POSTO GLORIA LIMITADA;16682296000108;RUA DEP CLAUDIO P DE LIMA,  957;N S GLORIA;30870020;MG;BELO HORIZONTE
COMERCIO DE COMBUSTIVEIS ALEX LTDA;17176561000149;RUA GONCALVES DIAS,  520;FUNCIONARIOS;30140090;MG;BELO HORIZONTE
POSTO PIRAJA LIMITADA;17185760000113;AVENIDA WALDOMIRO LOBO,  432;GUARANI;31814620;MG;BELO HORIZONTE
COMERCIO DE DERIVADOS DE PETROLEO MAJOR LTDA;17237017000160;AVENIDA SINFRONIO BROCHADO,  506;BARREIRO DE BAIXO;30640000;MG;BELO HORIZONTE
EXXEL REVENDEDORA DE DERIVADOS DE PETROLEO LTDA;17332487000102;AVENIDA VER CICERO ILDEFONSO,  539;JOAO PINHEIRO;30530000;MG;BELO HORIZONTE
POSTO VILA OURO FINO LTDA;17353756000117;RUA PIUM I,  260;CRUZEIRO;30310080;MG;BELO HORIZONTE
POSTO DO PAPAI LTDA;17418377000168;RUA POUSO ALEGRE,  1500;FLORESTA;31015030;MG;BELO HORIZONTE
POSTO DO PAPAI LTDA;17418377000249;RUA FLAVIO DOS SANTOS,  459;FLORESTA;31015150;MG;BELO HORIZONTE
POSTO BAHAMAS LTDA;17438508000179;AVENIDA SILVIANO BRANDAO,  796;FLORESTA;31015434;MG;BELO HORIZONTE
POSTO ITAPOA LTDA;17488693000106;AVENIDA AMAZONAS,  2994;BARROCA;30410000;MG;BELO HORIZONTE
POSTO DE COMBUSTIVEIS VILA COMETA LTDA;17509753000120;AVENIDA PRESIDENTE ANTONIO CARLOS,  7826;PAMPULHA;31270000;MG;BELO HORIZONTE
JR COMERCIO E PRESTACAO DE SERVICOS LTDA;17968553000135;RUA IZABEL BUENO,  20;UNIVERSITARIO;31255324;MG;BELO HORIZONTE
POSTO TEX KAR LIMITADA;18696690000120;RUA SILVA JARDIM,  388;FLORESTA;30150010;MG;BELO HORIZONTE
POSTO J A LTDA;18699439000209;AVENIDA RAJA GABAGLIA,  2461;SAO BENTO;30380403;MG;BELO HORIZONTE
POSTO BOM BOM LTDA;19902337000112;AVENIDA CONTORNO,  2694;SANTA EFIGENIA;30110014;MG;BELO HORIZONTE
POSTO BOM BOM LTDA;19902337000384;RUA PADRE PEDRO PINTO,  6400;MARIA HELENA;31660000;MG;BELO HORIZONTE
POSTO ARAPONGA LTDA;20093167000151;AVENIDA BRASIL,  909;SANTA EFIGENIA;30140000;MG;BELO HORIZONTE
POSTO ATLANTICO LTDA;20386694000154;AVENIDA PORTUGAL,  150;JARDIM ATLANTICO;31550000;MG;BELO HORIZONTE
POSTO GRAJAU LTDA;20828299000184;AVENIDA NOSSA SENHORA DO CARMO,  756;SAO PEDRO;30330000;MG;BELO HORIZONTE
POSTO VILA ESTACAO LTDA;20864330000132;RUA DOS TUPINAMBAS,  115;CENTRO;30120070;MG;BELO HORIZONTE
PLANALTO POSTO DE SERVICO LTDA;21546429000159;AVENIDA DR CRISTIANO GUIMARAES,  2329;PLANALTO;31720300;MG;BELO HORIZONTE
POSTO CAPITAL LTDA;21725460000157;AVENIDA ABILIO MACHADO,  1772;ALIPIO DE MELO;30820622;MG;BELO HORIZONTE
AUTO POSTO XANATAM LTDA;23898869000109;RODOVIA RODOVIA MG 5,  765;GOIANIA;31950000;MG;BELO HORIZONTE
DIFERENCIAL COMERCIO LTDA;25362955000110;AVENIDA DO CONTORNO,  3347;SANTA EFIGENIA;30110014;MG;BELO HORIZONTE
POSTO MANACAS LTDA;25507930000167;AVENIDA PRES TANCREDO NEVES,  1095;CASTELO;31330430;MG;BELO HORIZONTE
POSTO MIRAGEM LTDA;25833047000167;AVENIDA AMINTAS JACQUES DE MORAES,  2065;NOVO GLORIA;30870353;MG;BELO HORIZONTE
POSTO BRUNINHA LTDA;26079200000175;AVENIDA DOM PEDRO I,  1680;ITAPOA;31710000;MG;BELO HORIZONTE
GGP COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA;27050544000114;RUA NIQUELINA,  1396;PARAISO;30270050;MG;BELO HORIZONTE
NOVO POSTO CANAL DO BARREIRO LTDA;27139649000144;AVENIDA DO CANAL,  299;ATILA DE PAIVA;30640380;MG;BELO HORIZONTE
NOVO POSTO FERNAO DIAS LTDA;27291314000147;RUA MARIA FERREIRA DA SILVA,  401;FERNAO DIAS;31920350;MG;BELO HORIZONTE
POSTO ZEPPELIN LTDA;27476355000108;AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK,  3050;PADRE EUSTAQUIO;30530555;MG;BELO HORIZONTE
COMERCIO DE COMBUSTIVEIS JARDIM MONTANHES LTDA;28377496000136;AVENIDA DOM PEDRO II,  4414;JARDIM MONTANHES;30750000;MG;BELO HORIZONTE
POSTO SANTA TEREZA LTDA;29077402000176;RUA MARMORE,  21;SANTA TEREZA;31010220;MG;BELO HORIZONTE
POSTO VILA SUKATA LTDA;30897694000172;RUA PRESIDENTE COSTA E SILVA,  290;BAIRRO DAS INDUSTRIAS I;30610000;MG;BELO HORIZONTE
PANORAMA POSTO DE COMBUSTIVEIS LTDA.;33334677000115;AVENIDA VEREADOR CICERO ILDEFONSO,  684;JOAO PINHEIRO;30530000;MG;BELO HORIZONTE
POSTO DE COMBUSTIVEIS VILA PLATINA LTDA;36023813000144;RUA PLATINA,  789;PRADO;30411095;MG;BELO HORIZONTE
POSTO VILA PARIS LTDA;37164909000195;AVENIDA PRUDENTE DE MORAIS,  1133;SANTO ANTONIO;30350143;MG;BELO HORIZONTE
POSTO DE COMBUSTIVEIS VILA CALIFORNIA LTDA;37811410000122;RODOVIA PRESIDENTE JUSCELINO KUBITSCHEK,  1000;CALIFORNIA;30855500;MG;BELO HORIZONTE
COMERCIAL DIAS VIEIRA LTDA;38471934000184;RODOVIA CAMILO TEIXEIRA DA COSTA,  555;TUPI B;31844560;MG;BELO HORIZONTE
POSTO VILA VERA CRUZ LTDA;40538088000114;RUA NIQUELINA,  546;SANTA EFIGENIA;30260100;MG;BELO HORIZONTE
POSTO DE COMBUSTIVEL PASSARELA LTDA;42915694000137;AVENIDA CRISTIANO MACHADO,  2525;SILVEIRA;31170800;MG;BELO HORIZONTE
AUTO POSTO DO ALEMAO LTDA;42927464000198;RUA RIO DE JANEIRO,  1612;LOURDES;30160042;MG;BELO HORIZONTE
POSTO MANGABEIRAS LTDA;42969048000152;AVENIDA AFONSO PENA,  4321;SERRA;30130008;MG;BELO HORIZONTE
BEL POSTO DE COMBUSTIVEIS LTDA;42984713000187;RUA DAS PRINCESAS,  367;OESTE;30532070;MG;BELO HORIZONTE
POSTO DE COMBUSTIVEL LUBRIMIL LTDA;42999250000127;AVENIDA ABILIO MACHADO,  845;DOM BOSCO;30830000;MG;BELO HORIZONTE
POSTO VILA FLORESTA LTDA;45382951000100;RUA RAUL MENDES,  151;FLORESTA;31015179;MG;BELO HORIZONTE
COMPANHIA BRASILEIRA DE DISTRIBUICAO;47508411068540;RUA MARIA LUIZA SANTIAGO,  110;SANTA LUCIA;30360740;MG;BELO HORIZONTE
POSTO CLEARGEL LTDA;64226285000166;AVENIDA ANTONIO ABRAHAO CARAM,  996;SAO JOSE (PAMPULHA);31275000;MG;BELO HORIZONTE
POSTO BRUNATA LTDA;66333501000106;RUA ANAPURUS,  21;SAO GABRIEL;31980210;MG;BELO HORIZONTE
POSTO PARADA OBRIGATORIA LTDA;71233852000177;AVENIDA DOS ANDRADAS,  3910;POMPEIA;30280020;MG;BELO HORIZONTE
POSTO ASSIS LTDA;97480321000172;RODOVIA ANEL RODOVIARIO CELSO MELLO AZEVEDO,  24700;GOIANIA;31960275;MG;BELO HORIZONTE
AUTO POSTO PERFORMANCE LTDA.;00855731000119;RUA PROF.JOAO FALARZ,  1590;CAMPO COMPRIDO;81280270;PR;CURITIBA
AUTO POSTO POTENZA LTDA;01021491000110;RUA JOAO NEGRAO,  1561;CENTRO;80230150;PR;CURITIBA
POSTO NOVO BATEL LTDA;01203643000103;RUA BISPO DOM JOSE,  2550;BATEL;80440080;PR;CURITIBA
AUTO POSTO ORTONA II LTDA;01633884000184;RUA JOAO DEMBINSKI,  529;CAMPO COMPRIDO;81270330;PR;CURITIBA
POSTO OCEANO LTDA;02464029000150;RUA CARLOS DIETZSCH,  1115;PORTAO;80330001;PR;CURITIBA
AUTO POSTO TEX MARKET LTDA;02592695000173;RUA PAULO GORSKI,  2345;MOSSUNGUE;81210220;PR;CURITIBA
POSTO TOP GÁS LTDA;03068661000147;RUA ANTÔNIO ESCORSIN,  1031;SÃO BRAZ;82015000;PR;CURITIBA
D S P COM DE COMBUSTIVEL E LOJA DE CONVEN LTDA;03283663000159;AVENIDA BRASILIA,  5125;NOVO MUNDO;81020010;PR;CURITIBA
GAMA TRICHES E CIA LTDA;03449511000183;RUA NILO PECANHA,  1945;BOM RETIRO;80520000;PR;CURITIBA
POSTO JATIUCA LTDA;04103143000180;AVENIDA MANOEL RIBAS,  1360;MERCES;80810000;PR;CURITIBA
AUTO POSTO CAPITAL LTDA;04712442000111;RUA WALDEMAR LOUREIRO CAMPOS,  3880;XAXIM;81720180;PR;CURITIBA
